trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-128.77557989552022,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.6949999999999997}",30,0,-147.41868704165927,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-123.23216304402649,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-100.19162910176924,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-154.99988753833802,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,0,-51.712788523640555,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-190.64781285018515,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,-35.05232586846848,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-69.69112833924423,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-262.3147870574661,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 5}",0
69,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-52.507256250698966,"{0: 26, 1: 1, 2: 8, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,0,-63.828280139838455,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-137.9051092131071,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,-183.88948901163224,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
73,False,"{'a': 0.5, 'e': 0.6299999999999997}",35,0,-380.24177890346454,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 8}",0
74,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,-103.37338005653422,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-98.20229074999739,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-186.98882164283802,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-62.59314448638998,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6049999999999996}",30,0,-185.1669738826657,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
79,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-119.74932272546295,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",1
80,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-177.14028973456365,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,6.907801771742914,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,8,-90.41149688790543,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-141.23164429941804,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,2,27.655869415267478,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-68.62573973938187,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,0,-197.79181988203365,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
87,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-95.77646193167172,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,0,-100.25347460258676,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-259.90414385136734,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
