trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.999, 'e': 0.8797970327640962}",20,-48,-281.4873917232364,"{0: 48, 1: 3, 2: 10, 3: 2, 4: 5}",0
129,False,"{'a': 0.999, 'e': 0.8789172357313321}",25,-16,-113.03368664538056,"{0: 28, 1: 3, 2: 8, 3: 1, 4: 1}",0
130,False,"{'a': 0.999, 'e': 0.8780383184956008}",35,-100,-341.4287407570322,"{0: 99, 1: 11, 2: 16, 3: 5, 4: 4}",0
131,False,"{'a': 0.999, 'e': 0.8771602801771051}",25,-100,-711.9490313815596,"{0: 76, 1: 12, 2: 21, 3: 4, 4: 12}",0
132,False,"{'a': 0.999, 'e': 0.8762831198969281}",25,-100,-515.037375011151,"{0: 86, 1: 7, 2: 22, 3: 1, 4: 9}",0
133,False,"{'a': 0.999, 'e': 0.8754068367770311}",35,-100,-544.4772009669294,"{0: 88, 1: 9, 2: 28, 3: 3, 4: 7}",0
134,False,"{'a': 0.999, 'e': 0.8745314299402541}",25,-15,-203.79564142009863,"{0: 23, 1: 4, 2: 8, 3: 3, 4: 2}",0
135,False,"{'a': 0.999, 'e': 0.8736568985103138}",25,-33,-355.1597186323733,"{0: 37, 1: 1, 2: 11, 3: 3, 4: 6}",0
136,False,"{'a': 0.999, 'e': 0.8727832416118035}",25,2,-30.598417891148735,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 0.999, 'e': 0.8719104583701917}",20,-100,-399.4499578519478,"{0: 76, 1: 15, 2: 23, 3: 2, 4: 4}",0
138,False,"{'a': 0.999, 'e': 0.8710385479118216}",25,-21,-209.9792535791766,"{0: 28, 1: 3, 2: 12, 3: 0, 4: 3}",0
139,False,"{'a': 0.999, 'e': 0.8701675093639096}",25,6,-26.43201117556261,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 0}",1
140,False,"{'a': 0.999, 'e': 0.8692973418545458}",35,-62,-453.26187961107837,"{0: 61, 1: 17, 2: 10, 3: 0, 4: 9}",0
141,False,"{'a': 0.999, 'e': 0.8684280445126912}",20,-44,-167.77085983919562,"{0: 44, 1: 5, 2: 13, 3: 0, 4: 2}",0
