trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-181.6451621657416,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7149999999999997}",35,0,-276.41504521107044,"{0: 18, 1: 1, 2: 11, 3: 1, 4: 4}",0
57,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-129.941866232373,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-114.21766677399322,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-155.164309799915,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-179.1120291058548,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-115.00149248716852,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-92.41194129051046,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-205.97486757320638,"{0: 16, 1: 1, 2: 10, 3: 0, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,2,-120.16685524735111,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-91.81552422956212,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-210.45688297055017,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
67,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-75.97206708358438,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-169.91156362711584,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-89.77688437045417,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,0,-154.82318846825416,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-68.03128655283679,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,14.534659287107292,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-204.29021999981862,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
74,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,6,-89.11940590103868,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-110.20196268788564,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-133.55643860676417,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-156.654224435677,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.6049999999999996}",30,0,-132.4805171631661,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-145.76598295928164,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,0,-140.19908591962047,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,0,-118.28335615282087,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.5849999999999996}",35,13,-63.250968740759724,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-90.63290539828373,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
